,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,geom
1553,10300,10348,FS-1437762,FED,FS-FIRESTAT,FS,USCATNF,Tahoe National Forest,0517,Tahoe National Forest,50,AR-6,C3EA,SILVER,,,,,,2006,2453956.5,221,1102,3.0,Smoking,2453956.5,221.0,1325,0.1,A,39.30027778,-120.58472222,13.0,STATE OR PRIVATE,CA,61,061,Placer,b'\x00\x01\xad\x10\x00\x00<\t\xbf\x16l%^\xc0hh\x96\x80o\xa6C@<\t\xbf\x16l%^\xc0hh\x96\x80o\xa6C@|\x01\x00\x00\x00<\t\xbf\x16l%^\xc0hh\x96\x80o\xa6C@\xfe',POINT (-120.5847222199999 39.30027778000004)
1554,10334,10382,FS-1437798,FED,FS-FIRESTAT,FS,USCASTF,Stanislaus National Forest,0516,Stanislaus National Forest,23,4,CZB2,DODGE,,,,,,2006,2453933.5,198,1430,4.0,Campfire,2453933.5,198.0,1844,0.1,A,38.13444444,-119.98333333,5.0,USFS,CA,109,109,Tuolumne,b'\x00\x01\xad\x10\x00\x00\xacZ\xeb\xee\xee\xfe]\xc0\xf0v\xb4y5\x11C@\xacZ\xeb\xee\xee\xfe]\xc0\xf0v\xb4y5\x11C@|\x01\x00\x00\x00\xacZ\xeb\xee\xee\xfe]\xc0\xf0v\xb4y5\x11C@\xfe',POINT (-119.98333333 38.13444444000004)
1555,10335,10383,FS-1437799,FED,FS-FIRESTAT,FS,USCALNF,Lassen National Forest,0506,Lassen National Forest,30,010,B6UR,SIGNAL,,,,,,2006,2453920.5,185,1511,1.0,Lightning,2453920.5,185.0,1714,0.1,A,40.73388889,-120.83361111,5.0,USFS,CA,35,035,Lassen,b'\x00\x01\xad\x10\x00\x00\x10\xc2i\xe2Y5^\xc0X\xb96\x12\xf0]D@\x10\xc2i\xe2Y5^\xc0X\xb96\x12\xf0]D@|\x01\x00\x00\x00\x10\xc2i\xe2Y5^\xc0X\xb96\x12\xf0]D@\xfe',POINT (-120.83361111 40.73388889000006)
1556,10338,10386,FS-1437804,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,53,P4CRX1,CRX1,FAYE,NV-HTF-1111,FAY-LUTHER,,,FAY-LUTHER COMPLEX,2006,2453909.5,174,1716,1.0,Lightning,2453911.5,176.0,1800,30.0,C,38.87972222,-119.84972222,5.0,USFS,CA,3,003,Alpine,b'\x00\x01\xad\x10\x00\x00heN\xd9a\xf6]\xc0\x80;\xda\xbc\x9apC@heN\xd9a\xf6]\xc0\x80;\xda\xbc\x9apC@|\x01\x00\x00\x00heN\xd9a\xf6]\xc0\x80;\xda\xbc\x9apC@\xfe',POINT (-119.84972222 38.87972222000008)
1557,10351,10399,FS-1437822,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,59,d2-28-2006,C3ZU,HONEWELL,,,,,,2006,2453961.5,226,1330,4.0,Campfire,2453961.5,226.0,1945,1.5,B,38.2375,-119.3375,13.0,STATE OR PRIVATE,CA,51,051,Mono,b'\x00\x01\xad\x10\x00\x00\x98\x99\x99\x99\x99\xd5]\xc0pffff\x1eC@\x98\x99\x99\x99\x99\xd5]\xc0pffff\x1eC@|\x01\x00\x00\x00\x98\x99\x99\x99\x99\xd5]\xc0pffff\x1eC@\xfe',POINT (-119.3375 38.23750000000007)
1558,10366,10414,FS-1437840,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,135,092,B6UL,EAST,,,,,,2006,2453936.5,201,0941,2.0,Equipment Use,2453936.5,201.0,1053,1.0,B,34.56194444,-118.68138889,5.0,USFS,CA,37,037,Los Angeles,b'\x00\x01\xad\x10\x00\x00\x18\x9a%\xe0\x9b\xab]\xc0\x10\xfc\x9f\xcb\xedGA@\x18\x9a%\xe0\x9b\xab]\xc0\x10\xfc\x9f\xcb\xedGA@|\x01\x00\x00\x00\x18\x9a%\xe0\x9b\xab]\xc0\x10\xfc\x9f\xcb\xedGA@\xfe',POINT (-118.68138889 34.56194444000005)
1559,10367,10415,FS-1437841,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,153,103,B6UL,NORTH,,,,,,2006,2453941.5,206,1130,9.0,Miscellaneous,2453941.5,206.0,1300,5.0,B,34.63444444,-118.73222222,5.0,USFS,CA,37,037,Los Angeles,b'\x00\x01\xad\x10\x00\x00|\x13\x96\xba\xdc\xae]\xc0\xf0v\xb4y5QA@|\x13\x96\xba\xdc\xae]\xc0\xf0v\xb4y5QA@|\x01\x00\x00\x00|\x13\x96\xba\xdc\xae]\xc0\xf0v\xb4y5QA@\xfe',POINT (-118.73222222 34.63444444000004)
1560,10368,10416,FS-1437842,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,61,HTF 1552,C6PX,COW,,,,,,2006,2453954.5,219,1100,1.0,Lightning,2454013.5,278.0,1800,30.0,C,38.45027778,-119.61805556,5.0,USFS,CA,3,003,Alpine,b'\x00\x01\xad\x10\x00\x00\xe4S\xe88\x8e\xe7]\xc0\xa0\x9b\xc9\xb3\xa29C@\xe4S\xe88\x8e\xe7]\xc0\xa0\x9b\xc9\xb3\xa29C@|\x01\x00\x00\x00\xe4S\xe88\x8e\xe7]\xc0\xa0\x9b\xc9\xb3\xa29C@\xfe',POINT (-119.61805556 38.45027778000008)
1561,10369,10417,FS-1437843,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,154,104,B6UL,ORACLE,,,,,,2006,2453941.5,206,1443,1.0,Lightning,2453941.5,206.0,1625,0.1,A,34.47694444,-118.07583333,5.0,USFS,CA,37,037,Los Angeles,b'\x00\x01\xad\x10\x00\x00\xfc\x12\nt\xda\x84]\xc0\x98\xe7\xf1\x83\x0c=A@\xfc\x12\nt\xda\x84]\xc0\x98\xe7\xf1\x83\x0c=A@|\x01\x00\x00\x00\xfc\x12\nt\xda\x84]\xc0\x98\xe7\xf1\x83\x0c=A@\xfe',POINT (-118.07583333 34.47694444000007)
1562,10370,10418,FS-1437844,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,169,114,B7RL,PLACERITA,,,,,,2006,2453956.5,221,0556,7.0,Arson,2453956.5,221.0,0620,0.1,A,34.37416667,-118.42888889,13.0,STATE OR PRIVATE,CA,37,037,Los Angeles,b'\x00\x01\xad\x10\x00\x00\xb8\nc\xear\x9b]\xc0\xa8s\x85\xb1\xe4/A@\xb8\nc\xear\x9b]\xc0\xa8s\x85\xb1\xe4/A@|\x01\x00\x00\x00\xb8\nc\xear\x9b]\xc0\xa8s\x85\xb1\xe4/A@\xfe',POINT (-118.4288888899999 34.37416667000008)
1563,10371,10419,FS-1437846,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,173,117,B7RL,JUNIPER,,,,,,2006,2453959.5,224,1714,2.0,Equipment Use,2453959.5,224.0,1730,0.1,A,34.51444444,-118.23888889,14.0,MISSING/NOT SPECIFIED,CA,37,037,Los Angeles,b'\x00\x01\xad\x10\x00\x00\\{\xa0\xf4I\x8f]\xc0`\xb4\xbeP\xd9AA@\\{\xa0\xf4I\x8f]\xc0`\xb4\xbeP\xd9AA@|\x01\x00\x00\x00\\{\xa0\xf4I\x8f]\xc0`\xb4\xbeP\xd9AA@\xfe',POINT (-118.2388888899999 34.51444444000003)
1564,10372,10420,FS-1437847,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,55,HTF 1541,C2U2,BULL,,,,,,2006,2453952.5,217,1500,1.0,Lightning,2453997.5,262.0,1800,2.0,B,38.44416667,-119.61944444,5.0,USFS,CA,3,003,Alpine,b'\x00\x01\xad\x10\x00\x00H\xdfJ\xfa\xa4\xe7]\xc0\xd0\xcf\x14t\xda8C@H\xdfJ\xfa\xa4\xe7]\xc0\xd0\xcf\x14t\xda8C@|\x01\x00\x00\x00H\xdfJ\xfa\xa4\xe7]\xc0\xd0\xcf\x14t\xda8C@\xfe',POINT (-119.6194444399999 38.44416667000007)
